StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent_choice,risk_fit_1,risk_fit_2,Returns_1,Returns_2,intention to invest_1,intention to invest_2,gender,gender_3_TEXT,age,invest
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"I've read the consent form, and",Please indicate whether you agree with the statements below - The level of risk associated with managed investing is appealing to me,Please indicate whether you agree with the statements below - Managed investing would have the right level of risk for me,Please indicate whether you agree with the statements below - I think I could get a good return (interest) on my investments via managed investing,Please indicate whether you agree with the statements below - Managed investing is likely profitable for me,Please indicate whether you agree with the statements below - I am interested in managed investing,Please indicate whether you agree with the statements below - I would like to know a bit more about managed investing and how it works,I am a - Selected Choice,I am a - other - Text,My age is: ___ years,Do you invest money yourself in the stock market or other funds/investments?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID13""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID7_2""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID8_2""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID9_2""}","{""ImportId"":""QID10""}","{""ImportId"":""QID10_3_TEXT""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID12""}"
2021-05-12 08:51:32,2021-05-12 08:52:17,0,198.233.227.49,100,45,1,2021-05-12 08:52:17,R_3fpVQcw8I4PqILI,,,,,43.950897216796875,-110.55319976806640625,anonymous,EN,1,3,3,4,4,2,4,1,,25,1
2021-05-12 08:49:16,2021-05-12 08:53:18,0,76.185.102.224,100,241,1,2021-05-12 08:53:18,R_2xYoX1Z2hrGc6ji,,,,,32.8130950927734375,-96.8141021728515625,anonymous,EN,1,1,1,2,4,1,1,1,,27,1
2021-05-12 08:53:09,2021-05-12 08:54:12,0,172.74.31.59,100,63,1,2021-05-12 08:54:12,R_2tQejdA42Ap8jIJ,,,,,35.68280029296875,-78.5977020263671875,anonymous,EN,1,4,3,4,5,4,5,2,,24,4
2021-05-12 08:50:56,2021-05-12 08:54:15,0,47.184.115.63,100,198,1,2021-05-12 08:54:15,R_1loATZXVny7iNdP,,,,,33.238006591796875,-97.1134033203125,anonymous,EN,1,5,6,4,5,4,3,1,,32,1
2021-05-12 08:53:08,2021-05-12 08:54:26,0,76.221.209.152,100,78,1,2021-05-12 08:54:26,R_3PZZ6u25ds3aQKr,,,,,42.2967071533203125,-85.20659637451171875,anonymous,EN,1,0,3,3,3,1,1,3,nonbinary,35,1
2021-05-12 08:54:29,2021-05-12 08:56:36,0,107.211.61.138,100,126,1,2021-05-12 08:56:36,R_1GUYUEeJwiJVtgf,,,,,29.5941925048828125,-98.45909881591796875,anonymous,EN,1,1,4,3,3,3,3,2,,23,4
2021-05-12 08:55:38,2021-05-12 08:58:26,0,69.142.26.13,100,168,1,2021-05-12 08:58:28,R_1floUvSLRCRQnAF,,,,,40.03509521484375,-74.1107025146484375,anonymous,EN,1,1,1,3,3,0,0,2,,63,2
2021-05-12 08:55:46,2021-05-12 08:58:27,0,71.38.28.232,100,161,1,2021-05-12 08:58:28,R_1IRE34r55izQK57,,,,,36.0906982421875,-115.08860015869140625,anonymous,EN,1,4,3,3,3,4,5,2,,58,4
2021-05-12 08:58:43,2021-05-12 09:01:33,0,68.228.191.67,100,169,1,2021-05-12 09:01:33,R_1JPyV5inaSHO8y7,,,,,41.37469482421875,-81.91320037841796875,anonymous,EN,1,4,5,5,5,5,5,2,,58,2
2021-05-12 09:00:52,2021-05-12 09:01:38,0,71.207.32.87,100,45,1,2021-05-12 09:01:38,R_3247YPGtIqH273K,,,,,40.178802490234375,-77.00469970703125,anonymous,EN,1,4,4,4,5,5,5,2,,34,2
2021-05-12 09:00:13,2021-05-12 09:01:51,0,68.189.139.147,100,98,1,2021-05-12 09:01:51,R_29d1GGPPukcQMrA,,,,,46.0594024658203125,-118.3361053466796875,anonymous,EN,1,2,2,2,2,1,3,1,,25,1
2021-05-12 09:00:58,2021-05-12 09:02:18,0,162.196.160.81,100,79,1,2021-05-12 09:02:18,R_OO4a9LUMyRyju2l,,,,,36.0428009033203125,-89.3916015625,anonymous,EN,1,3,1,4,5,3,6,2,,20,4
2021-05-12 09:01:21,2021-05-12 09:03:15,0,67.10.151.59,100,113,1,2021-05-12 09:03:15,R_1eDJDpLNLHywzE3,,,,,26.1649932861328125,-97.98919677734375,anonymous,EN,1,6,0,2,1,0,3,1,,68,1
2021-05-12 09:04:30,2021-05-12 09:05:41,0,173.63.180.76,100,71,1,2021-05-12 09:05:42,R_1H8hCt0Ol5xw0MF,,,,,40.8446044921875,-74.57489776611328125,anonymous,EN,1,4,4,5,5,5,5,2,,61,2
2021-05-12 09:03:57,2021-05-12 09:06:04,0,68.0.163.219,100,126,1,2021-05-12 09:06:04,R_3NCxQrDclEy553w,,,,,31.5402069091796875,-110.266998291015625,anonymous,EN,1,1,1,4,3,1,5,2,,37,4
2021-05-12 09:04:46,2021-05-12 09:06:16,0,156.110.24.142,100,90,1,2021-05-12 09:06:17,R_6inqTgfTgnuwHpT,,,,,35.514404296875,-97.5865020751953125,anonymous,EN,1,6,5,4,4,4,4,1,,30,3
